guid,keys,vals,pairs,total
cpb-aacip-0515ac167c0.51810,0,0,0,0
cpb-aacip-0515ac167c0.51840,0,0,0,0
cpb-aacip-0515ac167c0.51975,1.0,0.0,0.9960000000000001,0.0
cpb-aacip-0515ac167c0.52080,0,0,0,0
cpb-aacip-0515ac167c0.52095,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-0515ac167c0.52200,0,0,0,0
cpb-aacip-0515ac167c0.52215,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-0515ac167c0.52320,0,0,0,0
cpb-aacip-0515ac167c0.52335,0,0,0,0
cpb-aacip-0515ac167c0.52350,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-0515ac167c0.52485,0,0,0,0
cpb-aacip-0515ac167c0.52500,1.0,0.0,0.98,0.0
cpb-aacip-0515ac167c0.52605,0,0,0,0
cpb-aacip-0515ac167c0.52620,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-0515ac167c0.52635,0,0,0,0
cpb-aacip-0515ac167c0.52740,0,0,0,0
cpb-aacip-0515ac167c0.52755,0,0,0,0
cpb-aacip-0515ac167c0.52770,0,0,0,0
cpb-aacip-0515ac167c0.52860,0,0,0,0
cpb-aacip-0515ac167c0.52875,1,1,1,1
cpb-aacip-0515ac167c0.52890,0,0,0,0
cpb-aacip-0515ac167c0.52980,0,0,0,0
cpb-aacip-0515ac167c0.52995,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-0515ac167c0.53100,0,0,0,0
cpb-aacip-0515ac167c0.53115,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-0515ac167c0.53205,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-0515ac167c0.53385,1,1,1,1
cpb-aacip-0515ac167c0.53580,1,1,1,1
cpb-aacip-0515ac167c0.53595,1,1,1,1
cpb-aacip-0515ac167c0.53685,1,1,1,1
cpb-aacip-131-375tb64j.48570,1,1,1,1
cpb-aacip-131-375tb64j.48585,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-131-375tb64j.48600,1.0,0.0,0.97,0.0
cpb-aacip-131-375tb64j.48615,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-131-375tb64j.48630,1,1,1,1
cpb-aacip-131-375tb64j.48645,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-131-375tb64j.48660,1.0,0.0,0.92,0.0
cpb-aacip-131-375tb64j.48675,0.0,1.0,0.985,0.0
cpb-aacip-131-375tb64j.48690,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-131-375tb64j.48705,1,1,1,1
cpb-aacip-131-375tb64j.48720,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-131-375tb64j.48735,1.0,0.0,0.92,0.0
cpb-aacip-131-375tb64j.48750,0,0,0,0
cpb-aacip-131-375tb64j.48765,1.0,0.0,0.97,0.0
cpb-aacip-131-375tb64j.48780,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-131-375tb64j.48795,1,1,1,1
cpb-aacip-131-375tb64j.48810,0.0,1.0,0.98,0.0
cpb-aacip-131-375tb64j.48825,1.0,0.0,0.95,0.0
cpb-aacip-131-375tb64j.48840,1,1,1,1
cpb-aacip-131-375tb64j.48855,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-131-375tb64j.48870,1.0,0.0,0.985,0.0
cpb-aacip-131-375tb64j.48885,1,1,1,1
cpb-aacip-131-375tb64j.48900,1,1,1,1
cpb-aacip-131-375tb64j.48915,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-131-375tb64j.48930,1,1,1,1
cpb-aacip-131-375tb64j.48945,0,0,0,0
cpb-aacip-131-375tb64j.48960,1,1,1,1
cpb-aacip-131-375tb64j.48975,1,1,1,1
cpb-aacip-131-375tb64j.48990,1,1,1,1
cpb-aacip-151-5m6251g16w.21615,1,1,1,1
cpb-aacip-151-nc5s75735d.25440,1,1,1,1
cpb-aacip-151-nc5s75735d.25455,1,1,1,1
cpb-aacip-151-nc5s75735d.25470,1,1,1,1
cpb-aacip-151-nc5s75735d.25485,1,1,1,1
cpb-aacip-151-nc5s75735d.25500,1,1,1,1
cpb-aacip-189-623bk932.50130,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50145,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50160,0.5,1.0,0.99,0.165
cpb-aacip-189-623bk932.50175,0.0,1.0,0.98,0.0
cpb-aacip-189-623bk932.50190,0.5,1.0,0.99,0.165
cpb-aacip-189-623bk932.50205,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50220,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50235,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50250,1.0,0.5,0.6666666666666666,0.1111111111111111
cpb-aacip-189-623bk932.50265,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50280,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50295,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50310,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50325,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50340,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50355,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50370,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50385,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50400,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50415,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50430,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50445,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50460,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50475,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50490,1.0,0.0,0.98,0.0
cpb-aacip-189-623bk932.50505,1.0,0.0,0.98,0.0
cpb-aacip-189-623bk932.50520,0.5,0.5,0.985,0.08208333333333333
cpb-aacip-189-623bk932.50535,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50550,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-189-623bk932.50565,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.49905,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.49935,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.49950,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.49965,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.49980,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.49995,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50010,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50025,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50040,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50055,0,0,0,0
cpb-aacip-221-03cz924b.50070,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50085,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.09876543209876543
cpb-aacip-221-03cz924b.50100,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50115,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50130,0,0,0,0
cpb-aacip-221-03cz924b.50145,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50160,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.09876543209876543
cpb-aacip-221-03cz924b.50175,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50190,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50205,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50220,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.09876543209876543
cpb-aacip-221-03cz924b.50235,1.0,0.5,0.75,0.125
cpb-aacip-221-03cz924b.50250,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50265,0.5,0.5,0.75,0.0625
cpb-aacip-221-03cz924b.50280,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50295,0.5,0.5,0.25,0.020833333333333332
cpb-aacip-221-03cz924b.50310,0.6666666666666666,0.6666666666666666,0.4,0.05925925925925926
cpb-aacip-221-03cz924b.50325,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50340,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50355,0,0,0,0
cpb-aacip-221-03cz924b.50370,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50385,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.09876543209876543
cpb-aacip-221-03cz924b.50400,1.0,0.5,0.98,0.16333333333333333
cpb-aacip-221-03cz924b.50415,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50430,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-221-03cz924b.50445,0,0,0,0
cpb-aacip-221-03cz924b.50460,0,0,0,0
cpb-aacip-221-03cz924b.50475,0,0,0,0
cpb-aacip-221-03cz924b.50490,1,1,1,1
cpb-aacip-259-3n20fq7w.39870,0,0,0,0
cpb-aacip-259-3n20fq7w.39885,0,0,0,0
cpb-aacip-259-3n20fq7w.39900,0,0,0,0
cpb-aacip-259-3n20fq7w.42300,0,0,0,0
cpb-aacip-259-3n20fq7w.42645,1,1,1,1
cpb-aacip-259-4x54hm72.49530,0,0,0,0
cpb-aacip-259-4x54hm72.49590,0,0,0,0
cpb-aacip-259-4x54hm72.49650,0,0,0,0
cpb-aacip-259-4x54hm72.49800,0,0,0,0
cpb-aacip-259-4x54hm72.49815,0,0,0,0
cpb-aacip-259-4x54hm72.49860,0,0,0,0
cpb-aacip-283-61rfjj43.102630,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102720,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102735,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102780,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102795,1.0,0.0,0.95,0.0
cpb-aacip-283-61rfjj43.102810,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102855,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102870,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102885,0,0,0,0
cpb-aacip-283-61rfjj43.102900,0,0,0,0
cpb-aacip-283-61rfjj43.102915,1.0,0.5,0.5,0.08333333333333333
cpb-aacip-283-61rfjj43.102960,0.0,0.0,0.0,0.0
